Career,Skill
Artificial Intelligence,"Web Development, Mobile App Development, Artificial Intelligence (AI), Deep Learning, Feature Engineering, Data Engineering, Big Data Technologies, Statistical Analysis, Data Analysis and Visualization, Database Development, Data Structure, Project Management, Communication, Critical Thinking, Interpersonal Skills, Adaptability, Research on Artificial Intelligence and Machine learning"
Software Development and Engineering,"Web Development, Mobile App Development, Game Development, Cybersecurity, Database Development, ProblemSolution, Operations & Logistics, Project Management, Communication, Critical Thinking, InterPersonnel Relations, adaptable, Computer Network"
Security,"Cybersecurity, Network Security, Network Topologies, Artificial Intelligence (AI), Cyber security, Computer Network"
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning"
Artificial Intelligence,"Robotics Knowhow, Internet of Things, Artificial Intelligence (AI) and Machine Learning, Research on Robotics and Machine understanding, Coding Bootcamps and Workshops"
Security,"Cybersecures, Network Security"
Software Development and Engineering,Database Development
Artificial Intelligence,"Internet of Things, Color Photography, Working with Technology and New Idea Generate"
Artificial Intelligence,"Robotics Knowledge, Internet of Things, Artificial Intelligence (AI) and Machine Learning"
User Experience (UX) and User Interface (UI) Design,"Graphic Design, UI/UX Knowledge"
Security,"Cybersecurity, Communication"
Development,"Web Development, Mobile App Development, UI/UX Knowledge, Web Based Project Develop, android app develop, ui/ux knowledgues, android application develop"
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Cloud Computing, Research on Artificial Intelligence and Machine learning"
Artificial Intelligence,Artificial Intelligence (AI)
Security,"Cybersecurity, Telecommunication, Critical Thinking"
Data Science,"Digital Literacy, Data Engineering, Data Analysis and Visualization, Critical Thinking, Database Development, Communication, Big Data Technologies, Feature Engineering, Statistical Analysis"
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Data Analysis and Visualization, Statistical Analysis, Research on Artificial Intelligence and Machine learning"
Artificial Intelligence,"Blockchain, Digital Art and Design, Internet of Things, Search Engine Optimization, Social Media Management, Copywriting, Public Relations, Issue Management, Collaborative Practice, Critical Thinking"
Software Development and Engineering,"Web Development, Artificial Intelligence (AI) and Machine Learning, Network Topologies, Network Security, Communication, Interpersonal Skills, System Design, Cloud Computing, Software Quality Assurance, Api testing"
Artificial Intelligence,"Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Analysis and Visualization, Cloud Computing"
Development,"Web Development, Mobile App Development, Game Development, Web based project develop"
Software Development and Engineering,"Game Development, Systems Design, Software Quality Testing, Project Management, Interpersonal Skills, Adaptability, Software Testing Related Work,Mobile App Develop"
User Experience (UX) and User Interface (UI) Design,"Graphic Design, UI/UX Knowledge, Video Editing & Animation, Illustration & Design, Working with Technology and New Idea Generate, Communication, Critical Thinking, Adaptability"
Security,"Cybersecurity, Network Topologies, Network Security, Research on Cyber Security"
Data Science,"Problem Solving and Analysis, Database Development, Data Analysis and Visualization, Big Data Technologies, Data Engineering, API Knowledge, Interpersonal Skills"
Security,"Network Security, Artifact Review and Commentary"
Security,"Operating Systems and Networking, Network Security"
Security,Cybersecurity
Development,"Web Development, Android App Develop"
Security,"Artificial Intelligence (AI) and Machine Learning, Cybersecurity, Cryptograph"
Data Science,"Statistical Analysis, Data Analysis andVisualization, Data Structure"
Development,Web Development
Development,"Web Development, Web based project develop"
Software Development and Engineering,"Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Big Data Technologies, Project Management, Adaptability, Database Development, Data Analysis and Visualization, Data Engineering, System Design, Cloud Computing, Web based project develop, Android App Develop"
Data Science,"Deep Learning, Machine Learning, Feature Engineering, Databases, Data Analysis and Visualization"
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Robotics Knowhow, Internet of Things, Project Management, Critical Thinking, Adaptability, Research on Artificial Intelligence and Machine learning"
Security,"Blockchain, Network Security, Communication"
Security,"Cybersecurity, Network Security"
Artificial Intelligence,"Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Analysis and Visualization, Cloud Computing"
Artificial Intelligence,"Artificial Intelligence (AI), Deep Learning, Machine Learning, Statistical Analysis, Data Analysis and Visualisation, Cybersecurity, Cryptograph, Network Security, Network Topologies, Problem Solving and Analysis, Operating Systems and Networking, Data Structure, Cloud Computing, Adaptability"
Development,"Android App Develop, Web based project develop"
Software Development and Engineering,"Artificial Intelligence (AI) and Machine Learning, Research on Artificial Intelligence and Machine learning"
Development,"System Design, Game Development, Web based project develop, Image Processing, Forum/Message Board Develop"
Artificial Intelligence,Artificial Intelligence (AI)
Artificial Intelligence,"Artificial Intelligence (AI) and Machine Learning, Operating Systems and Networking, Database Development, Data Engineering, Robotics Knowledge, Internet of Things, Cloud Computing, Network Topologies, Critical Thinking, Research on Artificial Intelligence and Machine learning"
Development,"Web Development, Problem Solving and Analysis, Web based project develop"
Software Development and Engineering,"Web Development, Mobile App Development, Game Development, Artificial Intelligence (AI) and Machine Learning, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Cryptograph, Database Development, Data Analysis and Visualization, Big Data Technologies, Data Engineering, Feature Engineering, Statistical Analysis, Robotics Knowledge, Internet of Things, System Design, API Knowledge, Network Topologies, Network Security"
Development,"Mobile App Development, Android App Develop"
Security,Network Security
Software Development and Engineering,Database Development
Security,"Cybersecurity, Data Analysis and Visualization, Network Security, Communication, Critical Thinking, Artificial Intelligence (AI) and Machine Learning, Cloud Computing, Network topologies, Network Security, Critical Thinking, Adaptability, Problem Solution, Data Structure"
Data Science,"Database Management, Data Analysis and Visualization, Data Engineering, Statistic Laboratory,"
Software Development and Engineering,"Web Development, Blockchain, Artificial Intelligence (AI), Deep Learning, Machine Learning, Statistical Analysis, Data Analysis and Visualization, Cryptographic Algorithms, Problem Solving and Analysis, Software Quality Testing, Data Structure, Project Management"
Software Development and Engineering,"Web Development, Mobile App Development, Problem Solving and Analysis, Cybersecurity, Operating Systems and Networking, Database Development, Data Analysis and Visualization, system design, project management, team leadership, adaptability to new idea"
